"","tl","model","mse"
"1",16,"ar",1.20298603956685
"2",16,"ar",0.664073738803591
"3",16,"ar",0.764467403328133
"4",26,"ar",0.73008183646209
"5",26,"ar",0.817452855598284
"6",26,"ar",0.780055044474059
"7",26,"ar",0.765007337302709
"8",26,"ar",0.909697526736527
"9",26,"ar",0.695383710647807
"10",26,"ar",0.993028192106784
"11",26,"ar",1.11335347386138
"12",26,"ar",1.09571193533786
"13",26,"ar",0.817323137477182
"14",26,"ar",0.72178342426513
"15",26,"ar",0.859011890754746
"16",26,"ar",0.90556210237931
"17",26,"ar",0.921227021847697
"18",16,"var",1.0570182388046
"19",16,"var",0.651745543736064
"20",16,"var",0.830352026570591
"21",26,"var",0.695974265644121
"22",26,"var",0.753200394811167
"23",26,"var",0.742837371958851
"24",26,"var",0.720771675806766
"25",26,"var",0.740762244395828
"26",26,"var",0.612207196017685
"27",26,"var",0.914434727356557
"28",26,"var",0.839952587924898
"29",26,"var",0.970688144468927
"30",26,"var",0.773183112481469
"31",26,"var",0.720939158819113
"32",26,"var",0.819011502522356
"33",26,"var",0.839836274313266
"34",26,"var",0.784150412385835
